지역,업종,사업체규모,연차휴가부여,연차휴가사용,연령대,성별,학력,직업,월평균소득구간
9,2,5,17,17,30대,1,4,3,4
7,11,2,17,0,50대,1,2,3,3
5,4,6,16,12,30대,2,4,3,3
2,13,2,15,6,60대,1,4,3,4
1,4,6,22,11,40대,1,4,4,5
5,10,6,15,0,20대,2,4,3,3
2,4,2,0,0,40대,2,3,3,3
1,10,3,13,8,40대,2,4,3,5
13,9,6,22,16,30대,1,4,3,3
1,14,2,15,15,30대,2,3,4,3
6,8,2,0,0,20대,2,3,4,2
16,8,3,0,0,20대,2,3,4,3
4,2,2,0,0,40대,2,2,3,5
1,14,2,15,15,50대,2,4,3,3
1,14,4,15,0,30대,2,3,2,2
6,13,5,15,13,40대,1,3,3,4
3,3,6,20,12,30대,1,4,3,3
1,13,6,15,12,30대,1,4,3,3
2,8,5,15,5,40대,2,2,4,4
2,13,6,15,15,30대,1,4,3,3
1,6,4,14,0,20대,1,4,5,3
1,13,2,15,3,40대,2,4,3,3
6,6,4,15,10,30대,1,3,3,2
1,15,2,0,0,50대,2,2,4,3
1,12,3,15,10,30대,2,4,3,3
13,7,4,0,0,60대,1,2,1,3
7,2,6,20,5,40대,2,4,3,4
14,3,4,15,15,30대,1,4,3,4
9,14,4,15,15,30대,2,5,3,3
1,9,6,18,18,30대,1,4,3,5
6,16,6,21,18,30대,2,3,3,3
3,2,2,0,0,60대,2,1,7,2
1,16,2,12,3,20대,2,4,2,3
1,5,6,0,0,40대,1,4,3,4
2,8,2,0,0,50대,2,4,4,4
9,7,4,17,6,40대,2,2,3,3
9,2,5,15,0,30대,2,4,3,3
4,2,2,0,0,40대,1,4,3,4
13,12,2,13,13,20대,2,4,3,2
6,7,6,15,15,20대,1,3,3,3
4,12,2,10,8,40대,2,4,2,4
16,13,5,17,2,40대,2,4,3,2
1,11,6,13,13,30대,2,3,3,3
11,13,4,15,2,50대,2,2,3,3
16,2,2,15,1,50대,1,2,3,3
16,5,2,0,0,50대,2,4,1,6
5,2,2,12,12,40대,2,2,3,2
6,11,2,22,5,40대,2,2,3,2
2,2,5,20,14,30대,2,4,3,2
16,13,5,25,4,20대,2,4,3,2
1,14,2,0,0,20대,2,3,4,2
9,10,4,11,8,20대,2,4,3,2
1,10,4,12,4,20대,2,2,3,2
4,8,2,0,0,30대,2,3,4,3
3,2,3,15,0,20대,2,4,3,2
10,3,4,17,7,30대,2,3,3,3
9,2,5,18,18,60대,1,2,7,3
12,2,6,16,10,20대,1,4,7,3
7,1,5,24,20,40대,2,3,3,4
9,14,6,15,10,30대,1,4,4,3
9,2,4,15,10,40대,2,4,3,3
14,12,4,25,20,50대,1,4,3,6
6,1,2,15,0,30대,1,3,7,2
1,5,2,0,0,30대,2,4,3,3
14,3,2,24,0,40대,1,2,8,4
6,13,5,15,12,40대,2,4,3,4
2,13,6,18,18,30대,2,4,3,3
15,13,4,16,16,60대,1,5,3,5
1,14,4,15,15,20대,2,4,4,2
1,16,2,15,15,30대,1,3,3,4
16,11,4,16,0,30대,2,4,3,2
10,11,4,22,5,40대,2,2,3,3
5,6,2,0,0,20대,2,3,5,2
2,7,6,15,0,40대,1,4,3,4
2,9,6,12,9,20대,2,4,3,2
9,4,3,0,0,50대,1,2,7,3
9,7,3,7,5,40대,1,3,3,3
1,6,6,14,13,60대,1,3,5,6
9,8,2,15,5,40대,2,1,4,3
1,4,3,16,14,40대,1,4,7,4
17,8,4,15,14,20대,2,4,4,2
9,13,4,15,8,30대,2,3,3,3
1,11,3,15,0,30대,1,3,3,4
5,13,5,20,8,30대,1,4,3,3
2,6,6,23,13,40대,2,4,5,3
13,6,3,15,15,30대,2,2,4,3
2,6,5,13,7,20대,2,4,4,2
10,5,2,10,0,30대,2,4,3,2
2,15,2,15,15,30대,1,4,4,3
1,9,5,21,5,30대,2,2,1,3
4,7,5,16,16,30대,2,3,3,3
14,7,4,22,18,30대,2,2,3,4
6,10,3,18,5,30대,1,4,3,6
9,15,3,15,15,30대,1,4,3,3
16,14,2,15,14,50대,2,3,1,3
3,16,2,0,0,20대,2,3,4,3
2,8,6,21,21,30대,1,2,4,2
11,2,6,25,6,40대,1,2,7,3
15,16,2,0,0,40대,2,2,4,2
5,13,3,0,0,40대,1,3,4,3
13,2,5,17,16,20대,1,3,8,2
2,2,6,25,20,30대,2,4,3,4
2,2,6,16,15,50대,1,2,7,4
1,9,5,15,15,50대,2,4,3,3
3,8,2,18,2,20대,1,4,4,3
13,9,6,22,19,40대,2,4,3,3
12,5,2,18,2,30대,2,4,3,4
2,10,5,16,6,30대,1,4,3,6
12,8,3,0,0,40대,1,2,4,4
10,10,2,16,16,30대,1,4,3,3
12,2,6,18,0,30대,1,4,3,4
14,11,2,15,0,60대,1,2,1,3
10,12,4,16,6,30대,1,4,7,3
15,10,2,16,0,30대,2,3,3,3
2,8,5,15,3,30대,2,4,4,3
1,5,3,13,0,20대,2,3,3,2
2,2,5,20,15,40대,2,4,7,7
13,10,5,20,20,50대,2,4,3,5
5,12,4,19,8,30대,1,5,3,4
7,14,5,21,21,40대,2,2,3,4
2,13,6,19,19,30대,1,4,3,3
1,16,2,0,0,20대,2,2,4,2
15,1,2,15,7,30대,1,4,3,3
9,5,4,15,4,20대,2,4,3,2
1,11,2,12,0,50대,1,5,9,3
16,9,4,17,17,30대,2,4,3,3
6,4,4,16,8,30대,1,4,3,3
14,3,3,21,0,40대,1,2,8,5
7,14,3,5,5,40대,2,4,3,2
2,6,5,17,10,30대,2,4,4,4
6,5,4,24,24,30대,1,2,3,2
2,6,5,15,15,20대,1,4,4,2
9,14,6,15,9,30대,1,4,3,3
10,4,3,15,10,40대,1,4,3,4
1,9,5,16,16,30대,2,4,3,3
9,7,2,12,10,60대,1,2,1,2
5,6,2,0,0,50대,1,3,5,3
9,14,6,15,3,20대,2,4,3,3
13,4,5,16,16,40대,1,2,7,3
1,8,6,23,17,20대,1,4,4,2
2,2,4,13,0,40대,2,3,3,3
11,2,6,16,9,20대,1,4,3,3
12,2,4,15,15,30대,2,2,7,4
13,4,2,18,15,30대,1,4,7,3
3,4,3,15,0,40대,2,4,3,2
12,2,3,19,12,40대,2,2,3,3
11,4,2,12,10,40대,2,4,3,3
1,7,5,15,1,30대,1,3,3,4
10,9,4,20,5,30대,1,4,3,3
2,10,3,12,12,40대,2,2,3,2
6,16,6,13,10,30대,2,2,3,3
4,1,3,0,0,30대,2,2,3,3
2,6,5,11,3,30대,2,4,4,2
1,5,2,12,12,40대,2,2,3,3
5,5,2,0,0,50대,1,2,3,5
15,2,3,15,10,30대,2,3,3,3
2,7,2,17,17,30대,1,4,3,5
1,16,2,16,16,20대,2,4,3,3
11,4,5,15,10,20대,2,3,3,2
2,7,5,17,16,30대,2,4,3,3
2,8,6,15,7,20대,2,2,4,2
1,15,6,15,12,20대,1,3,3,3
6,5,3,23,0,30대,1,2,3,3
2,2,6,18,8,40대,2,3,2,3
5,10,6,15,14,30대,2,4,5,3
1,9,6,15,15,20대,2,4,3,3
14,2,5,15,5,20대,2,4,3,2
10,11,3,14,14,40대,1,4,3,5
13,13,6,22,3,40대,2,2,3,3
5,14,2,15,7,20대,2,3,2,2
1,10,5,15,14,40대,2,4,5,5
16,15,2,0,0,20대,2,3,4,2
1,10,2,11,7,40대,1,4,3,3
1,14,2,17,0,20대,2,2,4,2
13,4,3,21,14,30대,1,4,3,4
3,2,4,15,0,20대,2,3,3,2
5,9,3,12,12,20대,2,3,3,3
3,2,3,15,0,20대,2,4,3,2
15,13,4,18,18,20대,1,2,3,3
9,9,4,16,10,30대,2,4,3,4
2,7,3,15,15,20대,2,4,3,2
1,14,4,12,4,40대,2,3,3,4
9,14,6,15,10,30대,1,4,4,3
1,3,6,22,14,20대,2,2,3,2
13,10,2,0,0,30대,1,4,3,4
16,10,4,17,10,20대,2,2,3,2
1,5,3,0,0,20대,2,4,7,2
4,7,5,16,14,40대,2,4,3,3
10,1,6,25,3,40대,2,3,3,5
16,5,6,15,0,30대,2,4,3,3
9,9,4,19,8,30대,1,4,3,4
12,10,4,15,4,20대,2,2,3,2
1,9,2,15,13,50대,2,5,2,3
9,14,3,18,18,30대,1,4,3,3
8,15,6,10,6,40대,1,4,3,3
6,8,2,0,0,40대,2,3,4,3
1,14,4,16,16,30대,2,4,3,2
2,6,6,15,5,20대,2,4,3,3
15,2,2,12,8,20대,2,2,3,2
13,6,2,0,0,40대,2,2,3,3
1,16,6,18,10,40대,2,4,4,3
1,14,5,25,4,40대,2,3,3,2
9,8,3,19,0,30대,2,4,4,2
2,13,6,20,0,20대,2,4,3,3
9,2,4,12,9,60대,1,4,3,4
13,12,2,0,0,30대,2,4,3,2
11,11,4,16,6,20대,1,4,3,2
1,10,6,15,12,30대,1,4,3,4
3,12,3,16,0,30대,1,4,3,3
9,6,4,18,10,30대,1,4,3,3
2,6,6,23,16,20대,2,3,4,3
10,1,3,15,14,20대,2,2,3,3
2,6,6,15,15,30대,2,4,3,6
7,2,6,20,0,40대,2,4,3,4
2,16,4,16,10,30대,1,4,3,2
3,15,2,23,0,20대,2,4,4,2
12,11,6,15,5,20대,1,4,7,4
1,9,6,18,,20대,1,4,3,2
9,12,2,0,0,30대,2,3,3,2
